sep=;
ID;Título;Precio Transferencia;Precio Efectivo
prod-gabinete-mlogix-view-max-270-w-226;GABINETE MLOGIX VIEW MAX 270 WC S/FTE;$ 59.000,00;$ 56.000,00
prod-gabinete-mlogix-sword-s-fte-rg-202;GABINETE MLOGIX SWORD S/FTE RGB;$ 46.500,00;$ 41.500,00
prod-proces-amd-ryzen-5-5600gt-am4--271;Proces. AMD Ryzen 5 5600GT AM4 CON VIDEO CON COOLER;$ 280.500,00;$ 274.500,00
prod-micro-amd-ryzen-5-8600g-am5-c--381;MICRO AMD RYZEN 5 8600G AM5 C/VID C/COOL;$ 315.500,00;$ 298.000,00
prod-mother-msi-a520m-a-pro-ddr4-am-958;Mother MSI A520M-A PRO DDR4 AM4 (Series 3000/4000/5000);$ 87.000,00;$ 83.000,00
prod-mother-msi-a520m-pro-ddr4-am4--969;Mother MSI A520M PRO DDR4 AM4 (Series 3000/4000/5000);$ 88.500,00;$ 84.500,00
prod-mother-giga-b550m-k-am4-d4-41;MOTHER GIGA B550M K AM4 D4;$ 135.000,00;$ 129.000,00
prod-mother-msi-pro-a620m-e-ddr5-am-370;Mother MSI PRO A620M-E DDR5 AM5 (Series 7000/8000);$ 127.500,00;$ 120.000,00
prod-mother-giga-a620m-h-am5-d5-ser-142;MOTHER GIGA A620M H AM5 D5 (Series 7000/8000);$ 126.500,00;$ 120.500,00
prod-motherboard-prime-a520m-k-799;Motherboard Prime a520m-K;$ 92.000,00;$ 92.000,00
prod-memoria-ddr4-8-gb-3200-mhz-hik-93;Memoria Ddr4 8 Gb 3200 MHz Hiksemi Armor;$ 136.000,00;$ 133.000,00
prod-memoria-ddr4-hiksemi-8gb-3200--295;Memoria DDR4 HIKSEMI 8Gb 3200 MHz Hiker;$ 135.000,00;$ 129.000,00
prod-memoria-patriot-signature-16gb-497;Memoria patriot Signature 16gb ddr5;$ 0,00;$ 0,00
prod-memoria-ram-ddr5-16gb-hiksemi--779;Memoria ram ddr5 16gb hiksemi armor;$ 0,00;$ 0,00
prod-memoria-ram-ddr4-16gb-hiksemi--422;Memoria ram ddr4 16gb hiksemi hiker;$ 0,00;$ 0,00
prod-fuente-raptor-volt-800w-80-plu-20;Fuente Raptor Volt 800W 80 Plus Gold Full Modular PCIe 5.1 Negra;$ 132.000,00;$ 123.000,00
prod-fuente-raptor-volt-1000w-461;Fuente Raptor Volt 1000w;$ 145.000,00;$ 133.000,00
prod-fuente-raptor-volt-650w-80-plu-885;Fuente Raptor Volt 650W 80 Plus Bronze;$ 77.500,00;$ 69.500,00
prod-fuente-600w-magnumtech-mt-psu6-535;FUENTE 600W MAGNUMTECH MT-PSU600;$ 21.000,00;$ 19.500,00
prod-fuente-gigabyte-450w-80plus-br-694;Fuente Gigabyte 450w 80plus bronze;$ 0,00;$ 61.500,00
prod-fuente-gigabyte-750w-80plus-br-850;Fuente Gigabyte 750w 80plus bronze;$ 115.500,00;$ 106.000,00
prod-fuente-gigabyte-550w-80plus-si-634;Fuente Gigabyte 550w 80plus Silver;$ 0,00;$ 90.500,00
prod-fuente-gigabyte-550w-ice-80plu-17;Fuente Gigabyte 550w Ice 80plus Silver;$ 0,00;$ 90.500,00
prod-water-cooling-raptor-aqua-pro--800;Water Cooling Raptor Aqua Pro 240 Display 2x CPU Cooler 240mm Negro;$ 111.000,00;$ 111.000,00
prod-water-cooling-raptor-aqua-pro--550;Water Cooling Raptor Aqua Pro 360 Display 3x CPU Cooler 360mm Negro;$ 129.000,00;$ 115.000,00
prod-water-cooling-raptor-aqua-core-134;Water Cooling Raptor Aqua Core 240 2x CPU Cooler 240mm Negro;$ 96.000,00;$ 88.500,00
prod-water-cooling-raptor-aqua-core-315;Water Cooling Raptor Aqua Core 360 3x CPU Cooler 360mm Negro;$ 105.000,00;$ 95.000,00
prod-water-cooling-msi-a13-240-12;Water cooling Msi A13 240;$ 126.000,00;$ 126.000,00
prod-cpu-cooler-raptor-cryo-rgb-pot-211;CPU Cooler Raptor Cryo RGB Potencia Max 95W p/AMD/Intel;$ 18.500,00;$ 16.000,00
prod-cpu-cooler-kelyx-potencia-max--108;CPU Cooler Kelyx Potencia Max 95W pAMD/Intel;$ 16.000,00;$ 13.500,00
prod-cpu-cooler-tt-astria-200-argb--142;CPU Cooler TT ASTRIA 200 ARGB Lighting Intel & AMD;$ 70.500,00;$ 68.000,00
prod-cpu-cooler-tt-ux200-se-argb-li-635;CPU Cooler TT UX200 SE ARGB Lighting Intel & AMD White;$ 55.500,00;$ 52.500,00
prod-fan-cooler-raptor-frost-slim-r-464;Fan Cooler Raptor Frost Slim Ring120mm PWM+ARGB Black;$ 12.000,00;$ 10.500,00
prod-ventilador-gabinete-120mm-id-c-88;Ventilador Gabinete 120mm Id-cooling Fl-12025 Blanco Silencioso 21dba;$ 11.500,00;$ 10.000,00
prod-pasta-termica-raptor-ice-796;Pasta termica Raptor ICE;$ 10.000,00;$ 9.500,00
prod-pasta-t-rmica-arctic-mx-4-4grs-862;Pasta Térmica Arctic Mx-4 4grs Alto Rendimiento Jeringa;$ 11.500,00;$ 10.000,00
prod-arctic-pasta-termica-8g-metali-780;Arctic Pasta Termica 8g Metalica Mx-4 Espatula Gris ORIGINAL;$ 19.000,00;$ 17.000,00
prod-pasta-t-rmica-coldium-alaskan--489;Pasta Térmica Coldium Alaskan 4g Low Viscosity Oc 13.8w/m-k Gris Oscuro;$ 10.500,00;$ 8.500,00
